disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Lesch-Nyhan syndrome,30283,11,11,21,3,18,28,4,24,0.2727272727272727,0.36363636363636365,0.14285714285714285,0.2727272727272727,0.14285714285714285,0.36363636363636365
Cystinuria,96566,1,14,1,0,1,12,2,10,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.14285714285714285
Monosomy 5p syndrome,33419,4,27,19,4,15,31,3,28,0.14814814814814814,0.1111111111111111,0.21052631578947367,0.14814814814814814,0.0967741935483871,0.1111111111111111
Hereditary neuropathy with liability to pressure palsies,31538,0,18,17,10,7,30,3,27,0.5555555555555556,0.16666666666666666,0.5882352941176471,0.5555555555555556,0.1,0.16666666666666666
Norrie disease,32083,1,64,54,45,9,20,2,18,0.703125,0.03125,0.8333333333333334,0.703125,0.1,0.03125
Alpha-1-antitrypsin deficiency,30711,5,16,17,13,4,24,7,17,0.8125,0.4375,0.7647058823529411,0.8125,0.2916666666666667,0.4375
Hyperkalemic periodic paralysis,28042,10,29,26,13,13,21,3,18,0.4482758620689655,0.10344827586206896,0.5,0.4482758620689655,0.14285714285714285,0.10344827586206896
Schwartz-Jampel syndrome,31113,2,112,22,17,5,23,4,19,0.15178571428571427,0.03571428571428571,0.7727272727272727,0.15178571428571427,0.17391304347826086,0.03571428571428571
Diastrophic dysplasia,94720,14,64,38,4,34,33,2,31,0.0625,0.03125,0.10526315789473684,0.0625,0.06060606060606061,0.03125
Gorlin syndrome,28966,0,45,25,3,22,24,2,22,0.06666666666666667,0.044444444444444446,0.12,0.06666666666666667,0.08333333333333333,0.044444444444444446
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",30183,10,8,22,8,14,28,5,23,1.0,0.625,0.36363636363636365,1.0,0.17857142857142858,0.625
Fibrodysplasia ossificans progressiva,30328,1,35,28,22,6,29,2,27,0.6285714285714286,0.05714285714285714,0.7857142857142857,0.6285714285714286,0.06896551724137931,0.05714285714285714
Peutz-Jeghers syndrome,31798,4,33,24,18,6,21,6,15,0.5454545454545454,0.18181818181818182,0.75,0.5454545454545454,0.2857142857142857,0.18181818181818182
Zellweger syndrome,32874,0,55,17,16,1,17,0,17,0.2909090909090909,0.0,0.9411764705882353,0.2909090909090909,0.0,0.0
WAGR syndrome,30855,3,18,16,8,8,24,3,21,0.4444444444444444,0.16666666666666666,0.5,0.4444444444444444,0.125,0.16666666666666666
Waardenburg syndrome type 2,27569,5,12,27,4,23,37,7,30,0.3333333333333333,0.5833333333333334,0.14814814814814814,0.3333333333333333,0.1891891891891892,0.5833333333333334
Waardenburg syndrome type 3,27569,3,22,30,7,23,20,2,18,0.3181818181818182,0.09090909090909091,0.23333333333333334,0.3181818181818182,0.1,0.09090909090909091
Townes-Brocks syndrome,30460,1,66,17,13,4,27,3,24,0.19696969696969696,0.045454545454545456,0.7647058823529411,0.19696969696969696,0.1111111111111111,0.045454545454545456
Waardenburg syndrome type 1,27569,4,32,31,10,21,28,7,21,0.3125,0.21875,0.3225806451612903,0.3125,0.25,0.21875
Crouzon syndrome,31582,1,33,17,12,5,31,5,26,0.36363636363636365,0.15151515151515152,0.7058823529411765,0.36363636363636365,0.16129032258064516,0.15151515151515152
Cowden syndrome,28086,3,57,24,18,6,31,5,26,0.3157894736842105,0.08771929824561403,0.75,0.3157894736842105,0.16129032258064516,0.08771929824561403
Crigler-Najjar syndrome,27412,3,22,17,12,5,32,2,30,0.5454545454545454,0.09090909090909091,0.7058823529411765,0.5454545454545454,0.0625,0.09090909090909091
Coffin-Lowry syndrome,33213,2,81,16,11,5,30,8,22,0.13580246913580246,0.09876543209876543,0.6875,0.13580246913580246,0.26666666666666666,0.09876543209876543
Blepharophimosis-ptosis-epicanthus inversus syndrome,27485,2,9,17,6,11,25,6,19,0.6666666666666666,0.6666666666666666,0.35294117647058826,0.6666666666666666,0.24,0.6666666666666666
Hereditary hemorrhagic telangiectasia,28413,2,36,45,22,23,6,3,3,0.6111111111111112,0.08333333333333333,0.4888888888888889,0.6111111111111112,0.5,0.08333333333333333
Saethre-Chotzen syndrome,31475,0,61,18,17,1,21,4,17,0.2786885245901639,0.06557377049180328,0.9444444444444444,0.2786885245901639,0.19047619047619047,0.06557377049180328
Beckwith-Wiedemann syndrome,98136,13,85,31,9,22,26,7,19,0.10588235294117647,0.08235294117647059,0.2903225806451613,0.10588235294117647,0.2692307692307692,0.08235294117647059
Bartter syndrome,27629,2,2,18,2,16,21,0,21,1.0,0.0,0.1111111111111111,1.0,0.0,0.0
Albers-Schönberg osteopetrosis,27276,3,36,137,36,101,32,8,24,1.0,0.2222222222222222,0.26277372262773724,1.0,0.25,0.2222222222222222
Aicardi syndrome,30689,0,50,16,13,3,15,2,13,0.26,0.04,0.8125,0.26,0.13333333333333333,0.04
Alagille syndrome,98197,16,43,30,2,28,39,4,35,0.046511627906976744,0.09302325581395349,0.06666666666666667,0.046511627906976744,0.10256410256410256,0.09302325581395349
Abetalipoproteinemia,31820,0,63,3,3,0,22,5,17,0.047619047619047616,0.07936507936507936,1.0,0.047619047619047616,0.22727272727272727,0.07936507936507936
Cat-eye syndrome,28973,0,20,17,9,8,32,3,29,0.45,0.15,0.5294117647058824,0.45,0.09375,0.15
Ellis Van Creveld syndrome,32108,1,51,25,18,7,26,5,21,0.35294117647058826,0.09803921568627451,0.72,0.35294117647058826,0.19230769230769232,0.09803921568627451
Treacher-Collins syndrome,32816,2,68,20,19,1,17,7,10,0.27941176470588236,0.10294117647058823,0.95,0.27941176470588236,0.4117647058823529,0.10294117647058823
Cornelia de Lange syndrome,28431,7,100,156,85,71,39,9,30,0.85,0.09,0.5448717948717948,0.85,0.23076923076923078,0.09
Apert syndrome,30316,2,59,16,11,5,34,6,28,0.1864406779661017,0.1016949152542373,0.6875,0.1864406779661017,0.17647058823529413,0.1016949152542373
Lamellar ichthyosis,30696,6,21,14,6,8,22,5,17,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.2857142857142857,0.22727272727272727,0.23809523809523808
Menkes disease,31425,0,55,17,4,13,27,4,23,0.07272727272727272,0.07272727272727272,0.23529411764705882,0.07272727272727272,0.14814814814814814,0.07272727272727272
"Microphthalmia, Lenz type",33303,1,42,17,14,3,30,6,24,0.3333333333333333,0.14285714285714285,0.8235294117647058,0.3333333333333333,0.2,0.14285714285714285
Meckel syndrome,28420,1,45,76,18,58,31,0,31,0.4,0.0,0.23684210526315788,0.4,0.0,0.0
Triose phosphate-isomerase deficiency,30684,3,7,17,6,11,23,1,22,0.8571428571428571,0.14285714285714285,0.35294117647058826,0.8571428571428571,0.043478260869565216,0.14285714285714285
Distal monosomy 7q36 syndrome,33264,2,30,17,16,1,25,5,20,0.5333333333333333,0.16666666666666666,0.9411764705882353,0.5333333333333333,0.2,0.16666666666666666
Distal deletion 9p syndrome,31535,9,27,66,18,48,44,7,37,0.6666666666666666,0.25925925925925924,0.2727272727272727,0.6666666666666666,0.1590909090909091,0.25925925925925924
Trisomy 13 syndrome,98753,6,59,19,4,15,27,4,23,0.06779661016949153,0.06779661016949153,0.21052631578947367,0.06779661016949153,0.14814814814814814,0.06779661016949153
Distal duplication 15q syndrome,38960,11,29,33,3,30,22,2,20,0.10344827586206896,0.06896551724137931,0.09090909090909091,0.10344827586206896,0.09090909090909091,0.06896551724137931
Trisomy 18 syndrome,28757,1,67,18,2,16,40,10,30,0.029850746268656716,0.14925373134328357,0.1111111111111111,0.029850746268656716,0.25,0.14925373134328357
Distal duplication 18q syndrome,32995,1,31,27,4,23,17,1,16,0.12903225806451613,0.03225806451612903,0.14814814814814814,0.12903225806451613,0.058823529411764705,0.03225806451612903
Albinism-deafness syndrome,31604,5,7,22,5,17,27,0,27,0.7142857142857143,0.0,0.22727272727272727,0.7142857142857143,0.0,0.0
Ermine phenotype,27408,2,16,20,13,7,33,1,32,0.8125,0.0625,0.65,0.8125,0.030303030303030304,0.0625
Ocular albinism with late-onset sensorineural deafness,29706,5,6,17,6,11,19,5,14,1.0,0.8333333333333334,0.35294117647058826,1.0,0.2631578947368421,0.8333333333333334
Bruck syndrome,27239,2,14,17,10,7,20,3,17,0.7142857142857143,0.21428571428571427,0.5882352941176471,0.7142857142857143,0.15,0.21428571428571427
Darier disease,31039,3,24,16,12,4,28,5,23,0.5,0.20833333333333334,0.75,0.5,0.17857142857142858,0.20833333333333334
"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",31923,4,10,17,9,8,36,3,33,0.9,0.3,0.5294117647058824,0.9,0.08333333333333333,0.3
Isolated complex I deficiency,30935,3,37,44,24,20,20,5,15,0.6486486486486487,0.13513513513513514,0.5454545454545454,0.6486486486486487,0.25,0.13513513513513514
Bethlem muscular dystrophy,30345,5,39,30,9,21,31,7,24,0.23076923076923078,0.1794871794871795,0.3,0.23076923076923078,0.22580645161290322,0.1794871794871795
Pentasomy X syndrome,32252,3,22,19,19,0,34,3,31,0.8636363636363636,0.13636363636363635,1.0,0.8636363636363636,0.08823529411764706,0.13636363636363635
Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,32372,8,8,24,8,16,27,2,25,1.0,0.25,0.3333333333333333,1.0,0.07407407407407407,0.25
Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,28337,0,21,24,16,8,15,1,14,0.7619047619047619,0.047619047619047616,0.6666666666666666,0.7619047619047619,0.06666666666666667,0.047619047619047616
Large/giant congenital melanocytic nevus,94937,14,21,18,4,14,23,5,18,0.19047619047619047,0.23809523809523808,0.2222222222222222,0.19047619047619047,0.21739130434782608,0.23809523809523808
Trisomy 9p syndrome,32458,1,27,17,16,1,41,3,38,0.5925925925925926,0.1111111111111111,0.9411764705882353,0.5925925925925926,0.07317073170731707,0.1111111111111111
22q11.2 duplication syndrome,30607,4,40,19,8,11,33,4,29,0.2,0.1,0.42105263157894735,0.2,0.12121212121212122,0.1
Tetrasomy 18p syndrome,39347,16,18,27,3,24,32,2,30,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0625,0.1111111111111111
Incontinentia pigmenti,31045,7,67,37,20,17,33,9,24,0.29850746268656714,0.13432835820895522,0.5405405405405406,0.29850746268656714,0.2727272727272727,0.13432835820895522
Hereditary orotic aciduria,31298,0,16,22,14,8,20,0,20,0.875,0.0,0.6363636363636364,0.875,0.0,0.0
Acrocallosal syndrome,28425,0,18,68,13,55,12,0,12,0.7222222222222222,0.0,0.19117647058823528,0.7222222222222222,0.0,0.0
Succinic semialdehyde dehydrogenase deficiency,28588,1,9,18,7,11,30,1,29,0.7777777777777778,0.1111111111111111,0.3888888888888889,0.7777777777777778,0.03333333333333333,0.1111111111111111
Mevalonic aciduria,31768,0,17,18,7,11,24,0,24,0.4117647058823529,0.0,0.3888888888888889,0.4117647058823529,0.0,0.0
Neonatal adrenoleukodystrophy,32341,1,29,17,17,0,31,2,29,0.5862068965517241,0.06896551724137931,1.0,0.5862068965517241,0.06451612903225806,0.06896551724137931
Alkaptonuria,30238,1,49,16,13,3,21,7,14,0.2653061224489796,0.14285714285714285,0.8125,0.2653061224489796,0.3333333333333333,0.14285714285714285
Nager syndrome,27252,1,29,18,9,9,20,2,18,0.3103448275862069,0.06896551724137931,0.5,0.3103448275862069,0.1,0.06896551724137931
Smith-Magenis syndrome,27606,2,94,24,14,10,30,8,22,0.14893617021276595,0.0851063829787234,0.5833333333333334,0.14893617021276595,0.26666666666666666,0.0851063829787234
Tetrasomy X syndrome,32515,1,17,18,9,9,40,2,38,0.5294117647058824,0.11764705882352941,0.5,0.5294117647058824,0.05,0.11764705882352941
Refsum disease,31275,1,38,20,16,4,27,3,24,0.42105263157894735,0.07894736842105263,0.8,0.42105263157894735,0.1111111111111111,0.07894736842105263
Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,28195,4,27,28,20,8,42,7,35,0.7407407407407407,0.25925925925925924,0.7142857142857143,0.7407407407407407,0.16666666666666666,0.25925925925925924
Isovaleric acidemia,28466,5,29,18,7,11,28,5,23,0.2413793103448276,0.1724137931034483,0.3888888888888889,0.2413793103448276,0.17857142857142858,0.1724137931034483
Aarskog-Scott syndrome,27534,4,49,65,41,24,32,8,24,0.8367346938775511,0.16326530612244897,0.6307692307692307,0.8367346938775511,0.25,0.16326530612244897
Chronic mucocutaneous candidiasis,29252,1,31,39,3,36,5,1,4,0.0967741935483871,0.03225806451612903,0.07692307692307693,0.0967741935483871,0.2,0.03225806451612903
Caffey disease,27926,1,14,17,10,7,28,1,27,0.7142857142857143,0.07142857142857142,0.5882352941176471,0.7142857142857143,0.03571428571428571,0.07142857142857142
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,27633,3,17,21,9,12,22,3,19,0.5294117647058824,0.17647058823529413,0.42857142857142855,0.5294117647058824,0.13636363636363635,0.17647058823529413
Sheldon-Hall syndrome,33218,0,20,17,16,1,20,0,20,0.8,0.0,0.9411764705882353,0.8,0.0,0.0
Argininemia,29832,0,10,16,6,10,4,0,4,0.6,0.0,0.375,0.6,0.0,0.0
Distal arthrogryposis type 1,99362,15,9,29,1,28,32,2,30,0.1111111111111111,0.2222222222222222,0.034482758620689655,0.1111111111111111,0.0625,0.2222222222222222
Alopecia antibody deficiency,33040,2,11,20,11,9,17,0,17,1.0,0.0,0.55,1.0,0.0,0.0
Aniridia-cerebellar ataxia-intellectual disability syndrome,28593,3,11,17,9,8,21,5,16,0.8181818181818182,0.45454545454545453,0.5294117647058824,0.8181818181818182,0.23809523809523808,0.45454545454545453
Blue rubber bleb nevus,97476,8,13,16,1,15,34,3,31,0.07692307692307693,0.23076923076923078,0.0625,0.07692307692307693,0.08823529411764706,0.23076923076923078
Isolated Dandy-Walker malformation,38226,11,20,24,3,21,31,4,27,0.15,0.2,0.125,0.15,0.12903225806451613,0.2
Dihydropteridine reductase deficiency,28246,0,4,18,3,15,28,0,28,0.75,0.0,0.16666666666666666,0.75,0.0,0.0
Argininosuccinic aciduria,30829,2,51,17,12,5,31,8,23,0.23529411764705882,0.1568627450980392,0.7058823529411765,0.23529411764705882,0.25806451612903225,0.1568627450980392
Carbamoyl-phosphate synthetase 1 deficiency,29186,2,7,18,6,12,25,1,24,0.8571428571428571,0.14285714285714285,0.3333333333333333,0.8571428571428571,0.04,0.14285714285714285
Corpus callosum agenesis-neuronopathy syndrome,31948,2,14,26,7,19,31,2,29,0.5,0.14285714285714285,0.2692307692307692,0.5,0.06451612903225806,0.14285714285714285
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,31726,6,11,17,11,6,33,4,29,1.0,0.36363636363636365,0.6470588235294118,1.0,0.12121212121212122,0.36363636363636365
Cutis marmorata telangiectatica congenita,30815,1,32,24,18,6,13,2,11,0.5625,0.0625,0.75,0.5625,0.15384615384615385,0.0625
Cohen syndrome,30788,2,64,18,3,15,8,3,5,0.046875,0.046875,0.16666666666666666,0.046875,0.375,0.046875
Cooper-Jabs syndrome,30472,0,26,17,13,4,16,1,15,0.5,0.038461538461538464,0.7647058823529411,0.5,0.0625,0.038461538461538464
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,29649,4,10,17,5,12,27,2,25,0.5,0.2,0.29411764705882354,0.5,0.07407407407407407,0.2
Charlie M syndrome,32176,0,16,17,11,6,21,0,21,0.6875,0.0,0.6470588235294118,0.6875,0.0,0.0
Cholestasis-lymphedema syndrome,28982,5,20,20,17,3,29,7,22,0.85,0.35,0.85,0.85,0.2413793103448276,0.35
Cleidocranial dysplasia,28472,1,55,43,11,32,18,3,15,0.2,0.05454545454545454,0.2558139534883721,0.2,0.16666666666666666,0.05454545454545454
Fetal alcohol syndrome,33152,4,32,17,16,1,30,7,23,0.5,0.21875,0.9411764705882353,0.5,0.23333333333333334,0.21875
Isolated ectopia lentis,29210,10,11,17,2,15,22,2,20,0.18181818181818182,0.18181818181818182,0.11764705882352941,0.18181818181818182,0.09090909090909091,0.18181818181818182
Ebstein malformation of the tricuspid valve,28145,2,27,17,13,4,27,9,18,0.48148148148148145,0.3333333333333333,0.7647058823529411,0.48148148148148145,0.3333333333333333,0.3333333333333333
Dyskeratosis congenita,28228,3,62,18,10,8,32,6,26,0.16129032258064516,0.0967741935483871,0.5555555555555556,0.16129032258064516,0.1875,0.0967741935483871
XY type gonadal dysgenesis-associated anomalies syndrome,28132,4,26,19,13,6,21,3,18,0.5,0.11538461538461539,0.6842105263157895,0.5,0.14285714285714285,0.11538461538461539
Familial dysautonomia,28693,5,37,19,3,16,35,7,28,0.08108108108108109,0.1891891891891892,0.15789473684210525,0.08108108108108109,0.2,0.1891891891891892
Dubowitz syndrome,29628,0,102,19,19,0,11,1,10,0.18627450980392157,0.00980392156862745,1.0,0.18627450980392157,0.09090909090909091,0.00980392156862745
Diencephalic syndrome,33396,0,14,17,12,5,34,2,32,0.8571428571428571,0.14285714285714285,0.7058823529411765,0.8571428571428571,0.058823529411764705,0.14285714285714285
Encephalopathy due to sulfite oxidase deficiency,33016,1,21,17,17,0,22,3,19,0.8095238095238095,0.14285714285714285,1.0,0.8095238095238095,0.13636363636363635,0.14285714285714285
Pyruvate dehydrogenase deficiency,31168,5,35,31,7,24,24,1,23,0.2,0.02857142857142857,0.22580645161290322,0.2,0.041666666666666664,0.02857142857142857
Isolated glycerol kinase deficiency,33481,5,17,17,13,4,19,4,15,0.7647058823529411,0.23529411764705882,0.7647058823529411,0.7647058823529411,0.21052631578947367,0.23529411764705882
Congenital diaphragmatic hernia,30076,12,8,28,1,27,34,1,33,0.125,0.125,0.03571428571428571,0.125,0.029411764705882353,0.125
Congenital hydrocephalus,28443,0,21,15,0,15,29,1,28,0.0,0.047619047619047616,0.0,0.0,0.034482758620689655,0.047619047619047616
Neonatal hemochromatosis,30776,2,11,26,10,16,26,1,25,0.9090909090909091,0.09090909090909091,0.38461538461538464,0.9090909090909091,0.038461538461538464,0.09090909090909091
Cutaneous mastocytosis-deafness-microtia syndrome,31577,7,52,26,5,21,28,11,17,0.09615384615384616,0.21153846153846154,0.19230769230769232,0.09615384615384616,0.39285714285714285,0.21153846153846154
Hartnup disease,31907,0,30,15,12,3,6,0,6,0.4,0.0,0.8,0.4,0.0,0.0
Hawkinsinuria,30083,0,9,13,8,5,33,0,33,0.8888888888888888,0.0,0.6153846153846154,0.8888888888888888,0.0,0.0
Galactosialidosis,28079,2,9,16,11,5,28,2,26,1.2222222222222223,0.2222222222222222,0.6875,1.2222222222222223,0.07142857142857142,0.2222222222222222
Congenital fiber-type disproportion myopathy,31446,0,59,39,22,17,17,0,17,0.3728813559322034,0.0,0.5641025641025641,0.3728813559322034,0.0,0.0
Freeman-Sheldon syndrome,30510,0,31,22,7,15,18,2,16,0.22580645161290322,0.06451612903225806,0.3181818181818182,0.22580645161290322,0.1111111111111111,0.06451612903225806
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",29645,6,23,41,16,25,32,6,26,0.6956521739130435,0.2608695652173913,0.3902439024390244,0.6956521739130435,0.1875,0.2608695652173913
Fetal parvovirus syndrome,32419,4,9,23,9,14,26,2,24,1.0,0.2222222222222222,0.391304347826087,1.0,0.07692307692307693,0.2222222222222222
