disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Mucolipidosis type III,27333,0,11,18,2,16,19,0,19,0.18181818181818182,0.0,0.1111111111111111,0.18181818181818182,0.0,0.0
Mucopolysaccharidosis type 7,27436,9,14,18,2,16,24,2,22,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.08333333333333333,0.14285714285714285
Recessive X-linked ichthyosis,29420,2,4,18,2,16,23,3,20,0.5,0.75,0.1111111111111111,0.5,0.13043478260869565,0.75
Turner syndrome,32829,6,22,33,8,25,29,5,24,0.36363636363636365,0.22727272727272727,0.24242424242424243,0.36363636363636365,0.1724137931034483,0.22727272727272727
Beta-thalassemia,33434,1,6,23,6,17,25,1,24,1.0,0.16666666666666666,0.2608695652173913,1.0,0.04,0.16666666666666666
Cystic fibrosis,28714,5,7,26,5,21,21,4,17,0.7142857142857143,0.5714285714285714,0.19230769230769232,0.7142857142857143,0.19047619047619047,0.5714285714285714
Alpha-thalassemia,31842,5,2,22,2,20,31,0,31,1.0,0.0,0.09090909090909091,1.0,0.0,0.0
Facioscapulohumeral dystrophy,31356,10,6,21,3,18,18,0,18,0.5,0.0,0.14285714285714285,0.5,0.0,0.0
Emery-Dreifuss muscular dystrophy,27674,1,7,20,4,16,21,0,21,0.5714285714285714,0.0,0.2,0.5714285714285714,0.0,0.0
Kearns-Sayre syndrome,28773,3,3,17,0,17,19,2,17,0.0,0.6666666666666666,0.0,0.0,0.10526315789473684,0.6666666666666666
Thomsen and Becker disease,27944,0,5,17,0,17,21,2,19,0.0,0.4,0.0,0.0,0.09523809523809523,0.4
MERRF,29913,3,7,16,6,10,25,2,23,0.8571428571428571,0.2857142857142857,0.375,0.8571428571428571,0.08,0.2857142857142857
Central core disease,27799,3,0,24,0,24,21,0,21,0.0,0.0,0.0,0.0,0.0,0.0
Marfan syndrome,38220,21,10,27,1,26,24,1,23,0.1,0.1,0.037037037037037035,0.1,0.041666666666666664,0.1
Ataxia-telangiectasia,30665,2,23,19,5,14,29,3,26,0.21739130434782608,0.13043478260869565,0.2631578947368421,0.21739130434782608,0.10344827586206896,0.13043478260869565
Down syndrome,32076,3,14,51,9,42,23,3,20,0.6428571428571429,0.21428571428571427,0.17647058823529413,0.6428571428571429,0.13043478260869565,0.21428571428571427
CHARGE syndrome,31003,3,16,92,11,81,34,3,31,0.6875,0.1875,0.11956521739130435,0.6875,0.08823529411764706,0.1875
Oculocerebrorenal syndrome of Lowe,29016,0,22,24,1,23,32,3,29,0.045454545454545456,0.13636363636363635,0.041666666666666664,0.045454545454545456,0.09375,0.13636363636363635
Retinoblastoma,31883,2,1,21,1,20,25,0,25,1.0,0.0,0.047619047619047616,1.0,0.0,0.0
Fragile X syndrome,27967,5,7,23,2,21,27,0,27,0.2857142857142857,0.0,0.08695652173913043,0.2857142857142857,0.0,0.0
Mucopolysaccharidosis type 1,27436,9,17,19,5,14,22,3,19,0.29411764705882354,0.17647058823529413,0.2631578947368421,0.29411764705882354,0.13636363636363635,0.17647058823529413
Williams syndrome,30529,3,49,189,47,142,30,3,27,0.9591836734693877,0.061224489795918366,0.24867724867724866,0.9591836734693877,0.1,0.061224489795918366
Wolf-Hirschhorn syndrome,32102,5,29,115,27,88,32,5,27,0.9310344827586207,0.1724137931034483,0.23478260869565218,0.9310344827586207,0.15625,0.1724137931034483
Ataxia with vitamin E deficiency,28900,4,7,17,6,11,16,3,13,0.8571428571428571,0.42857142857142855,0.35294117647058826,0.8571428571428571,0.1875,0.42857142857142855
Rheumatic fever,32807,4,5,20,3,17,18,2,16,0.6,0.4,0.15,0.6,0.1111111111111111,0.4
X-linked agammaglobulinemia,38989,12,17,12,0,12,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0
Wiskott-Aldrich syndrome,27973,3,15,22,4,18,26,3,23,0.26666666666666666,0.2,0.18181818181818182,0.26666666666666666,0.11538461538461539,0.2
Hypophosphatasia,29033,1,13,36,7,29,32,2,30,0.5384615384615384,0.15384615384615385,0.19444444444444445,0.5384615384615384,0.0625,0.15384615384615385
Hydrocephalus with stenosis of the aqueduct of Sylvius,94969,17,6,29,2,27,27,1,26,0.3333333333333333,0.16666666666666666,0.06896551724137931,0.3333333333333333,0.037037037037037035,0.16666666666666666
Ornithine transcarbamylase deficiency,31982,2,5,16,5,11,29,2,27,1.0,0.4,0.3125,1.0,0.06896551724137931,0.4
Kennedy disease,28888,4,10,19,8,11,28,2,26,0.8,0.2,0.42105263157894735,0.8,0.07142857142857142,0.2
X-linked retinoschisis,30609,0,6,17,5,12,27,2,25,0.8333333333333334,0.3333333333333333,0.29411764705882354,0.8333333333333334,0.07407407407407407,0.3333333333333333
Hypochondroplasia,98702,14,6,42,1,41,32,1,31,0.16666666666666666,0.16666666666666666,0.023809523809523808,0.16666666666666666,0.03125,0.16666666666666666
X-linked hypohidrotic ectodermal dysplasia,29412,0,9,31,7,24,32,1,31,0.7777777777777778,0.1111111111111111,0.22580645161290322,0.7777777777777778,0.03125,0.1111111111111111
Blue cone monochromatism,30200,5,1,17,1,16,14,0,14,1.0,0.0,0.058823529411764705,1.0,0.0,0.0
Neurofibromatosis type 1,27275,0,15,17,1,16,31,2,29,0.06666666666666667,0.13333333333333333,0.058823529411764705,0.06666666666666667,0.06451612903225806,0.13333333333333333
Non-acquired isolated growth hormone deficiency,33166,13,4,19,4,15,20,2,18,1.0,0.5,0.21052631578947367,1.0,0.1,0.5
Chronic granulomatous disease,97606,10,14,26,1,25,32,4,28,0.07142857142857142,0.2857142857142857,0.038461538461538464,0.07142857142857142,0.125,0.2857142857142857
Homocystinuria due to cystathionine beta-synthase deficiency,29289,0,9,21,1,20,25,2,23,0.1111111111111111,0.2222222222222222,0.047619047619047616,0.1111111111111111,0.08,0.2222222222222222
Lesch-Nyhan syndrome,30283,11,8,21,3,18,28,3,25,0.375,0.375,0.14285714285714285,0.375,0.10714285714285714,0.375
Cystinuria,96566,1,4,1,0,1,12,1,11,0.0,0.25,0.0,0.0,0.08333333333333333,0.25
Monosomy 5p syndrome,33419,4,12,19,2,17,31,2,29,0.16666666666666666,0.16666666666666666,0.10526315789473684,0.16666666666666666,0.06451612903225806,0.16666666666666666
Hereditary neuropathy with liability to pressure palsies,31538,0,2,17,2,15,30,0,30,1.0,0.0,0.11764705882352941,1.0,0.0,0.0
Norrie disease,32083,1,15,54,11,43,20,0,20,0.7333333333333333,0.0,0.2037037037037037,0.7333333333333333,0.0,0.0
Alpha-1-antitrypsin deficiency,30711,5,4,17,4,13,24,2,22,1.0,0.5,0.23529411764705882,1.0,0.08333333333333333,0.5
Hyperkalemic periodic paralysis,28042,10,6,26,1,25,21,0,21,0.16666666666666666,0.0,0.038461538461538464,0.16666666666666666,0.0,0.0
Schwartz-Jampel syndrome,31113,2,26,22,7,15,23,2,21,0.2692307692307692,0.07692307692307693,0.3181818181818182,0.2692307692307692,0.08695652173913043,0.07692307692307693
Diastrophic dysplasia,94720,14,21,38,3,35,33,1,32,0.14285714285714285,0.047619047619047616,0.07894736842105263,0.14285714285714285,0.030303030303030304,0.047619047619047616
Gorlin syndrome,28966,0,5,25,0,25,24,1,23,0.0,0.2,0.0,0.0,0.041666666666666664,0.2
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",30183,10,7,22,7,15,28,5,23,1.0,0.7142857142857143,0.3181818181818182,1.0,0.17857142857142858,0.7142857142857143
Fibrodysplasia ossificans progressiva,30328,1,12,28,10,18,29,2,27,0.8333333333333334,0.16666666666666666,0.35714285714285715,0.8333333333333334,0.06896551724137931,0.16666666666666666
Peutz-Jeghers syndrome,31798,4,5,24,3,21,21,0,21,0.6,0.0,0.125,0.6,0.0,0.0
Zellweger syndrome,32874,0,25,17,10,7,17,0,17,0.4,0.0,0.5882352941176471,0.4,0.0,0.0
WAGR syndrome,30855,3,1,16,1,15,24,0,24,1.0,0.0,0.0625,1.0,0.0,0.0
Waardenburg syndrome type 2,27569,5,3,27,2,25,37,3,34,0.6666666666666666,1.0,0.07407407407407407,0.6666666666666666,0.08108108108108109,1.0
Waardenburg syndrome type 3,27569,3,13,30,3,27,20,2,18,0.23076923076923078,0.15384615384615385,0.1,0.23076923076923078,0.1,0.15384615384615385
Townes-Brocks syndrome,30460,1,7,17,0,17,27,0,27,0.0,0.0,0.0,0.0,0.0,0.0
Waardenburg syndrome type 1,27569,4,16,31,9,22,28,7,21,0.5625,0.4375,0.2903225806451613,0.5625,0.25,0.4375
Crouzon syndrome,31582,1,5,17,2,15,31,3,28,0.4,0.6,0.11764705882352941,0.4,0.0967741935483871,0.6
Cowden syndrome,28086,3,10,24,2,22,31,0,31,0.2,0.0,0.08333333333333333,0.2,0.0,0.0
Crigler-Najjar syndrome,27412,3,3,17,2,15,32,1,31,0.6666666666666666,0.3333333333333333,0.11764705882352941,0.6666666666666666,0.03125,0.3333333333333333
Coffin-Lowry syndrome,33213,2,31,16,9,7,30,3,27,0.2903225806451613,0.0967741935483871,0.5625,0.2903225806451613,0.1,0.0967741935483871
Blepharophimosis-ptosis-epicanthus inversus syndrome,27485,2,4,17,3,14,25,4,21,0.75,1.0,0.17647058823529413,0.75,0.16,1.0
Hereditary hemorrhagic telangiectasia,28413,2,8,45,9,36,6,2,4,1.125,0.25,0.2,1.125,0.3333333333333333,0.25
Saethre-Chotzen syndrome,31475,0,7,18,2,16,21,3,18,0.2857142857142857,0.42857142857142855,0.1111111111111111,0.2857142857142857,0.14285714285714285,0.42857142857142855
Beckwith-Wiedemann syndrome,98136,13,3,31,0,31,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0
Bartter syndrome,27629,2,2,18,2,16,21,0,21,1.0,0.0,0.1111111111111111,1.0,0.0,0.0
Albers-Schönberg osteopetrosis,27276,3,17,137,17,120,32,3,29,1.0,0.17647058823529413,0.12408759124087591,1.0,0.09375,0.17647058823529413
Aicardi syndrome,30689,0,9,16,1,15,15,1,14,0.1111111111111111,0.1111111111111111,0.0625,0.1111111111111111,0.06666666666666667,0.1111111111111111
Alagille syndrome,98197,16,6,30,1,29,39,2,37,0.16666666666666666,0.3333333333333333,0.03333333333333333,0.16666666666666666,0.05128205128205128,0.3333333333333333
Abetalipoproteinemia,31820,0,6,3,1,2,22,4,18,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.6666666666666666
Cat-eye syndrome,28973,0,3,17,0,17,32,0,32,0.0,0.0,0.0,0.0,0.0,0.0
Ellis Van Creveld syndrome,32108,1,19,25,9,16,26,2,24,0.47368421052631576,0.10526315789473684,0.36,0.47368421052631576,0.07692307692307693,0.10526315789473684
Treacher-Collins syndrome,32816,2,12,20,3,17,17,4,13,0.25,0.3333333333333333,0.15,0.25,0.23529411764705882,0.3333333333333333
Cornelia de Lange syndrome,28431,7,35,156,35,121,39,3,36,1.0,0.08571428571428572,0.22435897435897437,1.0,0.07692307692307693,0.08571428571428572
Apert syndrome,30316,2,13,16,2,14,34,3,31,0.15384615384615385,0.23076923076923078,0.125,0.15384615384615385,0.08823529411764706,0.23076923076923078
Lamellar ichthyosis,30696,6,10,14,6,8,22,5,17,0.6,0.5,0.42857142857142855,0.6,0.22727272727272727,0.5
Menkes disease,31425,0,22,17,2,15,27,2,25,0.09090909090909091,0.09090909090909091,0.11764705882352941,0.09090909090909091,0.07407407407407407,0.09090909090909091
"Microphthalmia, Lenz type",33303,1,1,17,0,17,30,2,28,0.0,2.0,0.0,0.0,0.06666666666666667,2.0
Meckel syndrome,28420,1,6,76,5,71,31,0,31,0.8333333333333334,0.0,0.06578947368421052,0.8333333333333334,0.0,0.0
Triose phosphate-isomerase deficiency,30684,3,4,17,4,13,23,1,22,1.0,0.25,0.23529411764705882,1.0,0.043478260869565216,0.25
Distal monosomy 7q36 syndrome,33264,2,16,17,7,10,25,3,22,0.4375,0.1875,0.4117647058823529,0.4375,0.12,0.1875
Distal deletion 9p syndrome,31535,9,15,66,12,54,44,5,39,0.8,0.3333333333333333,0.18181818181818182,0.8,0.11363636363636363,0.3333333333333333
Trisomy 13 syndrome,98753,6,24,19,3,16,27,2,25,0.125,0.08333333333333333,0.15789473684210525,0.125,0.07407407407407407,0.08333333333333333
Distal duplication 15q syndrome,38960,11,13,33,1,32,22,1,21,0.07692307692307693,0.07692307692307693,0.030303030303030304,0.07692307692307693,0.045454545454545456,0.07692307692307693
Trisomy 18 syndrome,28757,1,30,18,0,18,40,7,33,0.0,0.23333333333333334,0.0,0.0,0.175,0.23333333333333334
Distal duplication 18q syndrome,32995,1,17,27,2,25,17,0,17,0.11764705882352941,0.0,0.07407407407407407,0.11764705882352941,0.0,0.0
Albinism-deafness syndrome,31604,5,4,22,3,19,27,0,27,0.75,0.0,0.13636363636363635,0.75,0.0,0.0
Ermine phenotype,27408,2,3,20,3,17,33,0,33,1.0,0.0,0.15,1.0,0.0,0.0
Ocular albinism with late-onset sensorineural deafness,29706,5,5,17,5,12,19,5,14,1.0,1.0,0.29411764705882354,1.0,0.2631578947368421,1.0
Bruck syndrome,27239,2,6,17,4,13,20,2,18,0.6666666666666666,0.3333333333333333,0.23529411764705882,0.6666666666666666,0.1,0.3333333333333333
Darier disease,31039,3,6,16,2,14,28,2,26,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,0.07142857142857142,0.3333333333333333
"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",31923,4,10,17,9,8,36,3,33,0.9,0.3,0.5294117647058824,0.9,0.08333333333333333,0.3
Isolated complex I deficiency,30935,3,32,44,22,22,20,5,15,0.6875,0.15625,0.5,0.6875,0.25,0.15625
Bethlem muscular dystrophy,30345,5,6,30,4,26,31,2,29,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.06451612903225806,0.3333333333333333
Pentasomy X syndrome,32252,3,2,19,2,17,34,0,34,1.0,0.0,0.10526315789473684,1.0,0.0,0.0
Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,32372,8,8,24,8,16,27,2,25,1.0,0.25,0.3333333333333333,1.0,0.07407407407407407,0.25
Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,28337,0,7,24,6,18,15,1,14,0.8571428571428571,0.14285714285714285,0.25,0.8571428571428571,0.06666666666666667,0.14285714285714285
Large/giant congenital melanocytic nevus,94937,14,3,18,4,14,23,4,19,1.3333333333333333,1.3333333333333333,0.2222222222222222,1.3333333333333333,0.17391304347826086,1.3333333333333333
Trisomy 9p syndrome,32458,1,15,17,10,7,41,3,38,0.6666666666666666,0.2,0.5882352941176471,0.6666666666666666,0.07317073170731707,0.2
22q11.2 duplication syndrome,30607,4,0,19,0,19,33,0,33,0.0,0.0,0.0,0.0,0.0,0.0
Tetrasomy 18p syndrome,39347,16,4,27,2,25,32,1,31,0.5,0.25,0.07407407407407407,0.5,0.03125,0.25
Incontinentia pigmenti,31045,7,13,37,6,31,33,2,31,0.46153846153846156,0.15384615384615385,0.16216216216216217,0.46153846153846156,0.06060606060606061,0.15384615384615385
Hereditary orotic aciduria,31298,0,5,22,4,18,20,0,20,0.8,0.0,0.18181818181818182,0.8,0.0,0.0
Acrocallosal syndrome,28425,0,5,68,5,63,12,0,12,1.0,0.0,0.07352941176470588,1.0,0.0,0.0
Succinic semialdehyde dehydrogenase deficiency,28588,1,5,18,5,13,30,1,29,1.0,0.2,0.2777777777777778,1.0,0.03333333333333333,0.2
Mevalonic aciduria,31768,0,13,18,5,13,24,0,24,0.38461538461538464,0.0,0.2777777777777778,0.38461538461538464,0.0,0.0
Neonatal adrenoleukodystrophy,32341,1,21,17,12,5,31,1,30,0.5714285714285714,0.047619047619047616,0.7058823529411765,0.5714285714285714,0.03225806451612903,0.047619047619047616
Alkaptonuria,30238,1,16,16,7,9,21,5,16,0.4375,0.3125,0.4375,0.4375,0.23809523809523808,0.3125
Nager syndrome,27252,1,8,18,4,14,20,0,20,0.5,0.0,0.2222222222222222,0.5,0.0,0.0
Smith-Magenis syndrome,27606,2,31,24,6,18,30,2,28,0.1935483870967742,0.06451612903225806,0.25,0.1935483870967742,0.06666666666666667,0.06451612903225806
Tetrasomy X syndrome,32515,1,0,18,0,18,40,0,40,0.0,0.0,0.0,0.0,0.0,0.0
Refsum disease,31275,1,18,20,9,11,27,2,25,0.5,0.1111111111111111,0.45,0.5,0.07407407407407407,0.1111111111111111
Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,28195,4,11,28,7,21,42,5,37,0.6363636363636364,0.45454545454545453,0.25,0.6363636363636364,0.11904761904761904,0.45454545454545453
Isovaleric acidemia,28466,5,2,18,2,16,28,0,28,1.0,0.0,0.1111111111111111,1.0,0.0,0.0
Aarskog-Scott syndrome,27534,4,11,65,9,56,32,2,30,0.8181818181818182,0.18181818181818182,0.13846153846153847,0.8181818181818182,0.0625,0.18181818181818182
Chronic mucocutaneous candidiasis,29252,1,14,39,2,37,5,1,4,0.14285714285714285,0.07142857142857142,0.05128205128205128,0.14285714285714285,0.2,0.07142857142857142
Caffey disease,27926,1,2,17,1,16,28,0,28,0.5,0.0,0.058823529411764705,0.5,0.0,0.0
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,27633,3,6,21,2,19,22,1,21,0.3333333333333333,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.045454545454545456,0.16666666666666666
Sheldon-Hall syndrome,33218,0,6,17,4,13,20,0,20,0.6666666666666666,0.0,0.23529411764705882,0.6666666666666666,0.0,0.0
Argininemia,29832,0,5,16,1,15,4,0,4,0.2,0.0,0.0625,0.2,0.0,0.0
Distal arthrogryposis type 1,99362,15,2,29,0,29,32,0,32,0.0,0.0,0.0,0.0,0.0,0.0
Alopecia antibody deficiency,33040,2,7,20,8,12,17,0,17,1.1428571428571428,0.0,0.4,1.1428571428571428,0.0,0.0
Aniridia-cerebellar ataxia-intellectual disability syndrome,28593,3,5,17,5,12,21,2,19,1.0,0.4,0.29411764705882354,1.0,0.09523809523809523,0.4
Blue rubber bleb nevus,97476,8,6,16,0,16,34,1,33,0.0,0.16666666666666666,0.0,0.0,0.029411764705882353,0.16666666666666666
Isolated Dandy-Walker malformation,38226,11,5,24,1,23,31,2,29,0.2,0.4,0.041666666666666664,0.2,0.06451612903225806,0.4
Dihydropteridine reductase deficiency,28246,0,4,18,3,15,28,0,28,0.75,0.0,0.16666666666666666,0.75,0.0,0.0
Argininosuccinic aciduria,30829,2,4,17,2,15,31,1,30,0.5,0.25,0.11764705882352941,0.5,0.03225806451612903,0.25
Carbamoyl-phosphate synthetase 1 deficiency,29186,2,7,18,6,12,25,1,24,0.8571428571428571,0.14285714285714285,0.3333333333333333,0.8571428571428571,0.04,0.14285714285714285
Corpus callosum agenesis-neuronopathy syndrome,31948,2,7,26,6,20,31,2,29,0.8571428571428571,0.2857142857142857,0.23076923076923078,0.8571428571428571,0.06451612903225806,0.2857142857142857
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,31726,6,9,17,9,8,33,3,30,1.0,0.3333333333333333,0.5294117647058824,1.0,0.09090909090909091,0.3333333333333333
Cutis marmorata telangiectatica congenita,30815,1,9,24,7,17,13,1,12,0.7777777777777778,0.1111111111111111,0.2916666666666667,0.7777777777777778,0.07692307692307693,0.1111111111111111
Cohen syndrome,30788,2,29,18,3,15,8,2,6,0.10344827586206896,0.06896551724137931,0.16666666666666666,0.10344827586206896,0.25,0.06896551724137931
Cooper-Jabs syndrome,30472,0,12,17,5,12,16,0,16,0.4166666666666667,0.0,0.29411764705882354,0.4166666666666667,0.0,0.0
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,29649,4,6,17,4,13,27,2,25,0.6666666666666666,0.3333333333333333,0.23529411764705882,0.6666666666666666,0.07407407407407407,0.3333333333333333
Charlie M syndrome,32176,0,11,17,7,10,21,0,21,0.6363636363636364,0.0,0.4117647058823529,0.6363636363636364,0.0,0.0
Cholestasis-lymphedema syndrome,28982,5,12,20,10,10,29,7,22,0.8333333333333334,0.5833333333333334,0.5,0.8333333333333334,0.2413793103448276,0.5833333333333334
Cleidocranial dysplasia,28472,1,19,43,5,38,18,2,16,0.2631578947368421,0.10526315789473684,0.11627906976744186,0.2631578947368421,0.1111111111111111,0.10526315789473684
Fetal alcohol syndrome,33152,4,10,17,6,11,30,4,26,0.6,0.4,0.35294117647058826,0.6,0.13333333333333333,0.4
Isolated ectopia lentis,29210,10,2,17,1,16,22,0,22,0.5,0.0,0.058823529411764705,0.5,0.0,0.0
Ebstein malformation of the tricuspid valve,28145,2,7,17,5,12,27,1,26,0.7142857142857143,0.14285714285714285,0.29411764705882354,0.7142857142857143,0.037037037037037035,0.14285714285714285
Dyskeratosis congenita,28228,3,9,18,2,16,32,1,31,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.03125,0.1111111111111111
XY type gonadal dysgenesis-associated anomalies syndrome,28132,4,16,19,8,11,21,1,20,0.5,0.0625,0.42105263157894735,0.5,0.047619047619047616,0.0625
Familial dysautonomia,28693,5,12,19,3,16,35,6,29,0.25,0.5,0.15789473684210525,0.25,0.17142857142857143,0.5
Dubowitz syndrome,29628,0,10,19,5,14,11,0,11,0.5,0.0,0.2631578947368421,0.5,0.0,0.0
Diencephalic syndrome,33396,0,5,17,4,13,34,0,34,0.8,0.0,0.23529411764705882,0.8,0.0,0.0
Encephalopathy due to sulfite oxidase deficiency,33016,1,20,17,17,0,22,2,20,0.85,0.1,1.0,0.85,0.09090909090909091,0.1
Pyruvate dehydrogenase deficiency,31168,5,5,31,3,28,24,1,23,0.6,0.2,0.0967741935483871,0.6,0.041666666666666664,0.2
Isolated glycerol kinase deficiency,33481,5,11,17,9,8,19,3,16,0.8181818181818182,0.2727272727272727,0.5294117647058824,0.8181818181818182,0.15789473684210525,0.2727272727272727
Congenital diaphragmatic hernia,30076,12,1,28,0,28,34,0,34,0.0,0.0,0.0,0.0,0.0,0.0
Congenital hydrocephalus,28443,0,1,15,0,15,29,0,29,0.0,0.0,0.0,0.0,0.0,0.0
Neonatal hemochromatosis,30776,2,11,26,10,16,26,1,25,0.9090909090909091,0.09090909090909091,0.38461538461538464,0.9090909090909091,0.038461538461538464,0.09090909090909091
Cutaneous mastocytosis-deafness-microtia syndrome,31577,7,31,26,3,23,28,7,21,0.0967741935483871,0.22580645161290322,0.11538461538461539,0.0967741935483871,0.25,0.22580645161290322
Hartnup disease,31907,0,11,15,7,8,6,0,6,0.6363636363636364,0.0,0.4666666666666667,0.6363636363636364,0.0,0.0
Hawkinsinuria,30083,0,7,13,6,7,33,0,33,0.8571428571428571,0.0,0.46153846153846156,0.8571428571428571,0.0,0.0
Galactosialidosis,28079,2,9,16,11,5,28,2,26,1.2222222222222223,0.2222222222222222,0.6875,1.2222222222222223,0.07142857142857142,0.2222222222222222
Congenital fiber-type disproportion myopathy,31446,0,3,39,2,37,17,0,17,0.6666666666666666,0.0,0.05128205128205128,0.6666666666666666,0.0,0.0
Freeman-Sheldon syndrome,30510,0,16,22,5,17,18,1,17,0.3125,0.0625,0.22727272727272727,0.3125,0.05555555555555555,0.0625
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",29645,6,23,41,16,25,32,6,26,0.6956521739130435,0.2608695652173913,0.3902439024390244,0.6956521739130435,0.1875,0.2608695652173913
Fetal parvovirus syndrome,32419,4,4,23,4,19,26,2,24,1.0,0.5,0.17391304347826086,1.0,0.07692307692307693,0.5
Frontal encephalocele,98223,13,2,17,1,16,21,1,20,0.5,0.5,0.058823529411764705,0.5,0.047619047619047616,0.5
Congenital pulmonary airway malformation,33235,11,1,22,1,21,25,0,25,1.0,0.0,0.045454545454545456,1.0,0.0,0.0
Congenital macroglossia,28733,8,1,23,1,22,22,1,21,1.0,1.0,0.043478260869565216,1.0,0.045454545454545456,1.0
Moebius syndrome,32744,2,9,16,3,13,16,1,15,0.3333333333333333,0.1111111111111111,0.1875,0.3333333333333333,0.0625,0.1111111111111111
MASA syndrome,28587,0,9,22,9,13,36,0,36,1.0,0.0,0.4090909090909091,1.0,0.0,0.0
Marshall syndrome,32039,1,19,18,6,12,24,1,23,0.3157894736842105,0.05263157894736842,0.3333333333333333,0.3157894736842105,0.041666666666666664,0.05263157894736842
Neuroblastoma,37927,17,3,21,0,21,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0
Thanatophoric dysplasia,30963,7,15,26,3,23,30,2,28,0.2,0.13333333333333333,0.11538461538461539,0.2,0.06666666666666667,0.13333333333333333
Metatropic dysplasia,33376,0,19,18,3,15,30,0,30,0.15789473684210525,0.0,0.16666666666666666,0.15789473684210525,0.0,0.0
Proximal myotonic myopathy,31717,0,6,14,0,14,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0
Opsismodysplasia,29407,2,17,43,16,27,40,0,40,0.9411764705882353,0.0,0.37209302325581395,0.9411764705882353,0.0,0.0
Horizontal gaze palsy with progressive scoliosis,32396,7,3,21,3,18,31,4,27,1.0,1.3333333333333333,0.14285714285714285,1.0,0.12903225806451613,1.3333333333333333
Omphalocele,31866,6,4,18,0,18,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0
Linear nevus sebaceus syndrome,28650,0,21,32,13,19,8,0,8,0.6190476190476191,0.0,0.40625,0.6190476190476191,0.0,0.0
