disease,rag_top_node_id,common_symptoms,total_symptoms,rag_total_symptoms,rag_matches,rag_hallucinations,no_rag_total_symptoms,no_rag_matches,no_rag_hallucinations,rag_accuracy,no_rag_accuracy,rag_precision,rag_recall,no_rag_precision,no_rag_recall
Cryohydrocytosis,27992,0,9,35,7,28,30,0,30,0.7777777777777778,0.0,0.2,0.7777777777777778,0.0,0.0
"Amyloidosis, hereditary systemic 5",37798,11,10,31,1,30,28,1,27,0.1,0.1,0.03225806451612903,0.1,0.03571428571428571,0.1
Bardet-Biedl syndrome 4,27886,2,18,17,5,12,25,6,19,0.2777777777777778,0.3333333333333333,0.29411764705882354,0.2777777777777778,0.24,0.3333333333333333
Stankiewicz-Isidor syndrome,31267,2,34,17,15,2,39,5,34,0.4411764705882353,0.14705882352941177,0.8823529411764706,0.4411764705882353,0.1282051282051282,0.14705882352941177
Schinzel-Giedion midface retraction syndrome,30565,1,26,49,7,42,14,1,13,0.2692307692307692,0.038461538461538464,0.14285714285714285,0.2692307692307692,0.07142857142857142,0.038461538461538464
"Microcephaly 3, primary, autosomal recessive",27182,3,5,118,4,114,34,1,33,0.8,0.2,0.03389830508474576,0.8,0.029411764705882353,0.2
"Intellectual developmental disorder, X-linked 112",28041,2,77,17,11,6,17,4,13,0.14285714285714285,0.05194805194805195,0.6470588235294118,0.14285714285714285,0.23529411764705882,0.05194805194805195
Hyperekplexia 1,27484,2,4,17,2,15,27,2,25,0.5,0.5,0.11764705882352941,0.5,0.07407407407407407,0.5
CODAS syndrome,29615,2,27,54,15,39,28,2,26,0.5555555555555556,0.07407407407407407,0.2777777777777778,0.5555555555555556,0.07142857142857142,0.07407407407407407
"Maturity-onset diabetes of the young, type IX",30777,0,8,17,0,17,34,3,31,0.0,0.375,0.0,0.0,0.08823529411764706,0.375
"Intellectual developmental disorder, autosomal dominant 42",99663,19,9,24,0,24,42,1,41,0.0,0.1111111111111111,0.0,0.0,0.023809523809523808,0.1111111111111111
"Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities",31178,6,37,18,2,16,31,0,31,0.05405405405405406,0.0,0.1111111111111111,0.05405405405405406,0.0,0.0
"Bleeding disorder, platelet-type, 15",38300,14,3,19,0,19,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0
"Thrombocytopenia 13, syndromic",38329,8,22,25,4,21,22,3,19,0.18181818181818182,0.13636363636363635,0.16,0.18181818181818182,0.13636363636363635,0.13636363636363635
"Cutis laxa, autosomal recessive, type ID",27841,3,45,24,2,22,22,1,21,0.044444444444444446,0.022222222222222223,0.08333333333333333,0.044444444444444446,0.045454545454545456,0.022222222222222223
"Glaucoma 1, open angle, H",30583,2,4,16,3,13,29,2,27,0.75,0.5,0.1875,0.75,0.06896551724137931,0.5
Optic atrophy 16,39830,15,8,26,4,22,27,4,23,0.5,0.5,0.15384615384615385,0.5,0.14814814814814814,0.5
"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",27817,2,6,20,5,15,12,3,9,0.8333333333333334,0.5,0.25,0.8333333333333334,0.25,0.5
"Immunodeficiency 114, folate-responsive",38628,18,28,30,2,28,47,3,44,0.07142857142857142,0.10714285714285714,0.06666666666666667,0.07142857142857142,0.06382978723404255,0.10714285714285714
Autoinflammation with arthritis and vasculitis,38204,24,30,36,4,32,28,3,25,0.13333333333333333,0.1,0.1111111111111111,0.13333333333333333,0.10714285714285714,0.1
"Arthrogryposis, distal, type 12",99362,15,26,34,2,32,53,1,52,0.07692307692307693,0.038461538461538464,0.058823529411764705,0.07692307692307693,0.018867924528301886,0.038461538461538464
Multiple mitochondrial dysfunctions syndrome 7,38367,26,51,43,2,41,30,1,29,0.0392156862745098,0.0196078431372549,0.046511627906976744,0.0392156862745098,0.03333333333333333,0.0196078431372549
Pseudohypoparathyroidism Ia,27647,4,9,27,5,22,35,7,28,0.5555555555555556,0.7777777777777778,0.18518518518518517,0.5555555555555556,0.2,0.7777777777777778
"Osseous heteroplasia, progressive",29358,2,1,17,0,17,43,0,43,0.0,0.0,0.0,0.0,0.0,0.0
Pseudopseudohypoparathyroidism,27647,6,5,25,2,23,40,3,37,0.4,0.6,0.08,0.4,0.075,0.6
"Arthrogryposis, distal, type 2A (Freeman-Sheldon)",99362,14,19,40,1,39,39,1,38,0.05263157894736842,0.05263157894736842,0.025,0.05263157894736842,0.02564102564102564,0.05263157894736842
"Nephrotic syndrome, type 1",28016,4,7,26,8,18,32,3,29,1.1428571428571428,0.42857142857142855,0.3076923076923077,1.1428571428571428,0.09375,0.42857142857142855
Thrombocytopenia 3,38882,16,9,25,3,22,24,3,21,0.3333333333333333,0.3333333333333333,0.12,0.3333333333333333,0.125,0.3333333333333333
Retinitis pigmentosa 11,38253,21,11,33,3,30,32,4,28,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.125,0.36363636363636365
"GM1-gangliosidosis, type III",27167,5,5,34,0,34,42,0,42,0.0,0.0,0.0,0.0,0.0,0.0
Chediak-Higashi syndrome,33060,1,7,17,1,16,17,0,17,0.14285714285714285,0.0,0.058823529411764705,0.14285714285714285,0.0,0.0
Dyggve-Melchior-Clausen disease,27562,0,27,19,7,12,15,0,15,0.25925925925925924,0.0,0.3684210526315789,0.25925925925925924,0.0,0.0
Cleidocranial dysplasia,28472,5,25,36,5,31,26,1,25,0.2,0.04,0.1388888888888889,0.2,0.038461538461538464,0.04
Galactosemia,39443,17,8,25,2,23,29,2,27,0.25,0.25,0.08,0.25,0.06896551724137931,0.25
"Spinocerebellar ataxia, autosomal recessive 20",27662,3,29,35,6,29,16,4,12,0.20689655172413793,0.13793103448275862,0.17142857142857143,0.20689655172413793,0.25,0.13793103448275862
"Spastic paraplegia 93, autosomal recessive",38455,14,42,19,2,17,39,4,35,0.047619047619047616,0.09523809523809523,0.10526315789473684,0.047619047619047616,0.10256410256410256,0.09523809523809523
"Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies",31772,5,21,19,1,18,40,1,39,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.025,0.047619047619047616
"Cardiac, facial, and digital anomalies with developmental delay",30082,2,360,21,16,5,33,14,19,0.044444444444444446,0.03888888888888889,0.7619047619047619,0.044444444444444446,0.42424242424242425,0.03888888888888889
"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency",28418,14,21,23,3,20,26,4,22,0.14285714285714285,0.19047619047619047,0.13043478260869565,0.14285714285714285,0.15384615384615385,0.19047619047619047
Krabbe disease,33153,3,8,41,2,39,29,1,28,0.25,0.125,0.04878048780487805,0.25,0.034482758620689655,0.125
Ovarian dysgenesis 11,28202,7,8,20,4,16,38,4,34,0.5,0.5,0.2,0.5,0.10526315789473684,0.5
Microphthalmia/coloboma 11,27916,3,16,26,6,20,32,7,25,0.375,0.4375,0.23076923076923078,0.375,0.21875,0.4375
Short QT syndrome 3,28737,9,5,17,3,14,27,1,26,0.6,0.2,0.17647058823529413,0.6,0.037037037037037035,0.2
"Spastic paraplegia 78, autosomal recessive",38455,14,35,20,3,17,27,4,23,0.08571428571428572,0.11428571428571428,0.15,0.08571428571428572,0.14814814814814814,0.11428571428571428
Smith-Kingsmore syndrome,29084,0,10,17,0,17,27,0,27,0.0,0.0,0.0,0.0,0.0,0.0
Treacher Collins syndrome 2,30106,4,12,17,6,11,44,4,40,0.5,0.3333333333333333,0.35294117647058826,0.5,0.09090909090909091,0.3333333333333333
"Immunodeficiency 118, mycobacteriosis",38554,13,7,33,0,33,32,2,30,0.0,0.2857142857142857,0.0,0.0,0.0625,0.2857142857142857
"Immunodeficiency 117, mycobacteriosis, autosomal recessive",38554,3,33,30,1,29,32,3,29,0.030303030303030304,0.09090909090909091,0.03333333333333333,0.030303030303030304,0.09375,0.09090909090909091
"Microcephaly 5, primary, autosomal recessive",27447,2,17,16,2,14,33,5,28,0.11764705882352941,0.29411764705882354,0.125,0.11764705882352941,0.15151515151515152,0.29411764705882354
Noonan syndrome 1,27522,5,45,27,8,19,48,9,39,0.17777777777777778,0.2,0.2962962962962963,0.17777777777777778,0.1875,0.2
Metachondromatosis,31364,3,2,26,2,24,21,0,21,1.0,0.0,0.07692307692307693,1.0,0.0,0.0
LEOPARD syndrome 1,29477,0,36,61,15,46,16,0,16,0.4166666666666667,0.0,0.2459016393442623,0.4166666666666667,0.0,0.0
Immunodeficiency 133 with autoimmunity and autoinflammation,30536,2,32,18,3,15,19,0,19,0.09375,0.0,0.16666666666666666,0.09375,0.0,0.0
"Myopathy, myofibrillar, 3",27762,2,11,17,3,14,15,0,15,0.2727272727272727,0.0,0.17647058823529413,0.2727272727272727,0.0,0.0
Developmental and epileptic encephalopathy 28,28987,0,213,28,18,10,18,1,17,0.08450704225352113,0.004694835680751174,0.6428571428571429,0.08450704225352113,0.05555555555555555,0.004694835680751174
"Osteogenesis imperfecta, type IX",27158,6,24,220,23,197,42,5,37,0.9583333333333334,0.20833333333333334,0.10454545454545454,0.9583333333333334,0.11904761904761904,0.20833333333333334
"Acrofacial dysostosis 1, Nager type",27252,0,41,17,6,11,31,3,28,0.14634146341463414,0.07317073170731707,0.35294117647058826,0.14634146341463414,0.0967741935483871,0.07317073170731707
"Intellectual developmental disorder, autosomal recessive 82",28584,3,13,25,7,18,41,5,36,0.5384615384615384,0.38461538461538464,0.28,0.5384615384615384,0.12195121951219512,0.38461538461538464
"Spastic paraplegia 45, autosomal recessive",38455,13,13,19,1,18,14,1,13,0.07692307692307693,0.07692307692307693,0.05263157894736842,0.07692307692307693,0.07142857142857142,0.07692307692307693
"Congenital myopathy 4B, autosomal recessive",28689,5,18,19,1,18,14,0,14,0.05555555555555555,0.0,0.05263157894736842,0.05555555555555555,0.0,0.0
Retinitis pigmentosa 78,31651,8,10,18,6,12,26,3,23,0.6,0.3,0.3333333333333333,0.6,0.11538461538461539,0.3
Werner syndrome,32590,6,18,80,7,73,35,3,32,0.3888888888888889,0.16666666666666666,0.0875,0.3888888888888889,0.08571428571428572,0.16666666666666666
Brugada syndrome 1,28198,4,5,16,5,11,22,2,20,1.0,0.4,0.3125,1.0,0.09090909090909091,0.4
Smith-Lemli-Opitz syndrome,29631,3,13,35,5,30,35,1,34,0.38461538461538464,0.07692307692307693,0.14285714285714285,0.38461538461538464,0.02857142857142857,0.07692307692307693
"Corneal dystrophy, Fuchs endothelial, 4",28626,4,3,13,2,11,27,1,26,0.6666666666666666,0.3333333333333333,0.15384615384615385,0.6666666666666666,0.037037037037037035,0.3333333333333333
Arrhythmogenic cardiomyopathy with variable ectodermal abnormalities,31422,13,30,24,2,22,24,1,23,0.06666666666666667,0.03333333333333333,0.08333333333333333,0.06666666666666667,0.041666666666666664,0.03333333333333333
DiGeorge syndrome,32130,3,24,17,4,13,31,3,28,0.16666666666666666,0.125,0.23529411764705882,0.16666666666666666,0.0967741935483871,0.125
"Intellectual developmental disorder, autosomal dominant 7",99663,22,34,27,0,27,39,0,39,0.0,0.0,0.0,0.0,0.0,0.0
Legius syndrome,38110,0,2,43,0,43,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0
Spermatogenic failure 96,29823,7,3,15,1,14,24,1,23,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.041666666666666664,0.3333333333333333
Premature ovarian failure 25,28340,3,5,29,3,26,30,1,29,0.6,0.2,0.10344827586206896,0.6,0.03333333333333333,0.2
"Osteogenesis imperfecta, type XI",27158,8,8,222,8,214,33,4,29,1.0,0.5,0.036036036036036036,1.0,0.12121212121212122,0.5
KBG syndrome,27930,0,48,42,14,28,20,0,20,0.2916666666666667,0.0,0.3333333333333333,0.2916666666666667,0.0,0.0
"Ciliary dyskinesia, primary, 52",32022,5,18,18,2,16,45,2,43,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.044444444444444446,0.1111111111111111
"Deafness, autosomal recessive 15",27162,7,1,20,1,19,44,1,43,1.0,1.0,0.05,1.0,0.022727272727272728,1.0
"Microcephaly, short stature, and polymicrogyria with seizures",31034,5,18,105,12,93,25,5,20,0.6666666666666666,0.2777777777777778,0.11428571428571428,0.6666666666666666,0.2,0.2777777777777778
"Ehlers-Danlos syndrome, classic type, 2",32436,0,9,31,0,31,31,2,29,0.0,0.2222222222222222,0.0,0.0,0.06451612903225806,0.2222222222222222
"Congenital myopathy 2A, typical, autosomal dominant",28689,7,7,24,1,23,12,0,12,0.14285714285714285,0.0,0.041666666666666664,0.14285714285714285,0.0,0.0
Auroneurodental syndrome,28752,3,27,25,0,25,40,0,40,0.0,0.0,0.0,0.0,0.0,0.0
Immunodeficiency 119,38553,2,12,31,1,30,31,5,26,0.08333333333333333,0.4166666666666667,0.03225806451612903,0.08333333333333333,0.16129032258064516,0.4166666666666667
"Ehlers-Danlos syndrome, classic type, 1",32436,0,9,44,0,44,29,2,27,0.0,0.2222222222222222,0.0,0.0,0.06896551724137931,0.2222222222222222
Tietz albinism-deafness syndrome,29062,6,6,18,6,12,43,1,42,1.0,0.16666666666666666,0.3333333333333333,1.0,0.023255813953488372,0.16666666666666666
Loeys-Dietz syndrome 5,31164,5,73,30,11,19,37,8,29,0.1506849315068493,0.1095890410958904,0.36666666666666664,0.1506849315068493,0.21621621621621623,0.1095890410958904
Glass syndrome,99458,8,11,37,1,36,23,0,23,0.09090909090909091,0.0,0.02702702702702703,0.09090909090909091,0.0,0.0
Inosine triphosphatase deficiency,94957,19,2,40,0,40,40,0,40,0.0,0.0,0.0,0.0,0.0,0.0
"Ehlers-Danlos syndrome, classic-like, 2",94824,21,49,32,2,30,26,2,24,0.04081632653061224,0.04081632653061224,0.0625,0.04081632653061224,0.07692307692307693,0.04081632653061224
Kabuki syndrome 2,31000,4,87,23,8,15,47,14,33,0.09195402298850575,0.16091954022988506,0.34782608695652173,0.09195402298850575,0.2978723404255319,0.16091954022988506
Holoprosencephaly 5,28672,3,12,51,2,49,51,2,49,0.16666666666666666,0.16666666666666666,0.0392156862745098,0.16666666666666666,0.0392156862745098,0.16666666666666666
"Cardiomyopathy, familial hypertrophic, 30, atrial",31422,11,7,26,2,24,19,2,17,0.2857142857142857,0.2857142857142857,0.07692307692307693,0.2857142857142857,0.10526315789473684,0.2857142857142857
"Maple syrup urine disease, type II",95137,24,3,35,1,34,33,1,32,0.3333333333333333,0.3333333333333333,0.02857142857142857,0.3333333333333333,0.030303030303030304,0.3333333333333333
Prolonged electroretinal response suppression 2,36185,15,4,27,3,24,21,2,19,0.75,0.5,0.1111111111111111,0.75,0.09523809523809523,0.5
Skraban-Deardorff syndrome,31112,0,47,38,13,25,16,0,16,0.2765957446808511,0.0,0.34210526315789475,0.2765957446808511,0.0,0.0
Immunodeficiency 115 with autoinflammation,30536,2,29,19,2,17,32,0,32,0.06896551724137931,0.0,0.10526315789473684,0.06896551724137931,0.0,0.0
Al Kaissi syndrome,28671,1,46,43,34,9,61,2,59,0.7391304347826086,0.043478260869565216,0.7906976744186046,0.7391304347826086,0.03278688524590164,0.043478260869565216
"Acromesomelic dysplasia 1, Maroteaux type",99045,22,9,38,1,37,64,2,62,0.1111111111111111,0.2222222222222222,0.02631578947368421,0.1111111111111111,0.03125,0.2222222222222222
"Ehlers-Danlos syndrome, vascular type",94823,27,15,43,2,41,39,2,37,0.13333333333333333,0.13333333333333333,0.046511627906976744,0.13333333333333333,0.05128205128205128,0.13333333333333333
Polymicrogyria with or without vascular-type EDS,27528,10,26,40,5,35,31,0,31,0.19230769230769232,0.0,0.125,0.19230769230769232,0.0,0.0
Intellectual developmental disorder with dysmorphic facies and ptosis,29158,1,26,24,15,9,25,3,22,0.5769230769230769,0.11538461538461539,0.625,0.5769230769230769,0.12,0.11538461538461539
Macular dystrophy with or without cone dysfunction,30662,11,7,21,3,18,19,1,18,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.05263157894736842,0.14285714285714285
Intellectual developmental disorder with autism and macrocephaly,31672,3,79,19,9,10,35,7,28,0.11392405063291139,0.08860759493670886,0.47368421052631576,0.11392405063291139,0.2,0.08860759493670886
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 6",27215,5,22,101,13,88,31,4,27,0.5909090909090909,0.18181818181818182,0.12871287128712872,0.5909090909090909,0.12903225806451613,0.18181818181818182
"Spermatogenic failure, X-linked, 8, susceptibility to",29784,4,5,8,1,7,53,3,50,0.2,0.6,0.125,0.2,0.05660377358490566,0.6
"Palmoplantar keratoderma, epidermolytic, 1",30262,3,3,7,2,5,3,2,1,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.6666666666666666
Mucolipidosis III alpha/beta,27333,0,22,19,3,16,25,0,25,0.13636363636363635,0.0,0.15789473684210525,0.13636363636363635,0.0,0.0
"Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures",29588,2,74,18,7,11,22,3,19,0.0945945945945946,0.04054054054054054,0.3888888888888889,0.0945945945945946,0.13636363636363635,0.04054054054054054
"Deafness, autosomal recessive 124",27162,11,1,24,1,23,40,1,39,1.0,1.0,0.041666666666666664,1.0,0.025,1.0
"Osteogenesis imperfecta, type XV",27158,8,8,221,8,213,35,3,32,1.0,0.375,0.03619909502262444,1.0,0.08571428571428572,0.375
Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,31805,3,126,18,13,5,22,7,15,0.10317460317460317,0.05555555555555555,0.7222222222222222,0.10317460317460317,0.3181818181818182,0.05555555555555555
Alpha-thalassemia/impaired intellectual development syndrome,27529,6,12,44,1,43,47,1,46,0.08333333333333333,0.08333333333333333,0.022727272727272728,0.08333333333333333,0.02127659574468085,0.08333333333333333
Autoinflammation with episodic fever and immune dysregulation,38204,10,12,37,1,36,31,2,29,0.08333333333333333,0.16666666666666666,0.02702702702702703,0.08333333333333333,0.06451612903225806,0.16666666666666666
Ullrich congenital muscular dystrophy 1B,27258,4,35,62,29,33,36,7,29,0.8285714285714286,0.2,0.46774193548387094,0.8285714285714286,0.19444444444444445,0.2
"Neurofibromatosis, type 1",27275,2,36,27,4,23,39,7,32,0.1111111111111111,0.19444444444444445,0.14814814814814814,0.1111111111111111,0.1794871794871795,0.19444444444444445
"Diarrhea 3, secretory sodium, congenital, syndromic",99693,17,10,28,2,26,20,2,18,0.2,0.2,0.07142857142857142,0.2,0.1,0.2
Noonan syndrome 3,27522,3,26,36,5,31,41,3,38,0.19230769230769232,0.11538461538461539,0.1388888888888889,0.19230769230769232,0.07317073170731707,0.11538461538461539
Cardiofaciocutaneous syndrome 2,28065,2,14,17,2,15,45,1,44,0.14285714285714285,0.07142857142857142,0.11764705882352941,0.14285714285714285,0.022222222222222223,0.07142857142857142
Joubert syndrome 10,27986,1,37,23,2,21,2,0,2,0.05405405405405406,0.0,0.08695652173913043,0.05405405405405406,0.0,0.0
"Simpson-Golabi-Behmel syndrome, type 2",30745,5,13,121,13,108,33,0,33,1.0,0.0,0.10743801652892562,1.0,0.0,0.0
Orofaciodigital syndrome I,27672,2,42,24,4,20,45,6,39,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.09523809523809523,0.13333333333333333,0.14285714285714285
"Hemophagocytic lymphohistiocytosis, familial, 2",29161,7,18,51,12,39,28,3,25,0.6666666666666666,0.16666666666666666,0.23529411764705882,0.6666666666666666,0.10714285714285714,0.16666666666666666
"Autoinflammatory syndrome, familial, with or without immunodeficiency",38204,16,44,24,3,21,20,4,16,0.06818181818181818,0.09090909090909091,0.125,0.06818181818181818,0.2,0.09090909090909091
"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly",28369,1,23,18,4,14,39,3,36,0.17391304347826086,0.13043478260869565,0.2222222222222222,0.17391304347826086,0.07692307692307693,0.13043478260869565
Luscan-Lumish syndrome,29882,0,64,32,24,8,35,0,35,0.375,0.0,0.75,0.375,0.0,0.0
"Intellectual developmental disorder, autosomal dominant 70",99663,19,16,21,0,21,33,1,32,0.0,0.0625,0.0,0.0,0.030303030303030304,0.0625
Hyaline fibromatosis syndrome,27621,7,10,25,1,24,44,0,44,0.1,0.0,0.04,0.1,0.0,0.0
Alzheimer disease-4,28780,7,11,27,3,24,32,5,27,0.2727272727272727,0.45454545454545453,0.1111111111111111,0.2727272727272727,0.15625,0.45454545454545453
"Congenital disorder of glycosylation, type Iip",35493,2,15,19,1,18,11,0,11,0.06666666666666667,0.0,0.05263157894736842,0.06666666666666667,0.0,0.0
GAPO syndrome,31188,0,12,70,6,64,15,0,15,0.5,0.0,0.08571428571428572,0.5,0.0,0.0
Van den Ende-Gupta syndrome,27554,0,29,35,11,24,11,0,11,0.3793103448275862,0.0,0.3142857142857143,0.3793103448275862,0.0,0.0
Leber congenital amaurosis 6,28852,7,39,52,20,32,36,9,27,0.5128205128205128,0.23076923076923078,0.38461538461538464,0.5128205128205128,0.25,0.23076923076923078
Cone-rod dystrophy 13,29580,3,21,17,5,12,26,5,21,0.23809523809523808,0.23809523809523808,0.29411764705882354,0.23809523809523808,0.19230769230769232,0.23809523809523808
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 8",28081,1,17,24,6,18,26,2,24,0.35294117647058826,0.11764705882352941,0.25,0.35294117647058826,0.07692307692307693,0.11764705882352941
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1,28751,0,12,30,1,29,21,1,20,0.08333333333333333,0.08333333333333333,0.03333333333333333,0.08333333333333333,0.047619047619047616,0.08333333333333333
"Ectodermal dysplasia 1, hypohidrotic, X-linked",29412,1,9,21,2,19,66,1,65,0.2222222222222222,0.1111111111111111,0.09523809523809523,0.2222222222222222,0.015151515151515152,0.1111111111111111
Developmental and epileptic encephalopathy 115,28987,3,17,39,8,31,38,4,34,0.47058823529411764,0.23529411764705882,0.20512820512820512,0.47058823529411764,0.10526315789473684,0.23529411764705882
Neurodevelopmental disorder plus optic atrophy,31888,2,13,34,3,31,41,4,37,0.23076923076923078,0.3076923076923077,0.08823529411764706,0.23076923076923078,0.0975609756097561,0.3076923076923077
Multiple endocrine neoplasia IIA,28426,12,5,58,2,56,40,2,38,0.4,0.4,0.034482758620689655,0.4,0.05,0.4
"Lipodystrophy, familial partial, type 8",30508,2,12,18,2,16,33,3,30,0.16666666666666666,0.25,0.1111111111111111,0.16666666666666666,0.09090909090909091,0.25
Severe combined immunodeficiency due to ADA deficiency,38629,20,13,22,0,22,45,3,42,0.0,0.23076923076923078,0.0,0.0,0.06666666666666667,0.23076923076923078
"Epilepsy, early-onset, 3, with or without developmental delay",28025,1,77,20,2,18,38,5,33,0.025974025974025976,0.06493506493506493,0.1,0.025974025974025976,0.13157894736842105,0.06493506493506493
Galactosialidosis,28079,0,17,16,2,14,28,0,28,0.11764705882352941,0.0,0.125,0.11764705882352941,0.0,0.0
Immunodeficiency 112,29890,14,16,31,2,29,49,3,46,0.125,0.1875,0.06451612903225806,0.125,0.061224489795918366,0.1875
Developmental and epileptic encephalopathy 9,28987,1,8,24,5,19,27,0,27,0.625,0.0,0.20833333333333334,0.625,0.0,0.0
Pseudoachondroplasia,27298,1,20,62,18,44,33,0,33,0.9,0.0,0.2903225806451613,0.9,0.0,0.0
Spermatogenic failure 94,29823,12,7,23,1,22,31,2,29,0.14285714285714285,0.2857142857142857,0.043478260869565216,0.14285714285714285,0.06451612903225806,0.2857142857142857
"Pulmonary hypertension, primary, 6",27519,0,17,17,4,13,27,2,25,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.07407407407407407,0.11764705882352941
"Congenital disorder of glycosylation, type IIbb",35493,4,30,32,2,30,10,0,10,0.06666666666666667,0.0,0.0625,0.06666666666666667,0.0,0.0
Weiss-Kruszka syndrome,30327,0,32,25,13,12,27,0,27,0.40625,0.0,0.52,0.40625,0.0,0.0
